id,product_id,convenience_id
1,1,1
2,1,3
3,1,4
4,1,5
5,1,6
6,1,7
7,1,8
8,1,9
9,1,10
10,1,11
11,1,12
12,1,13
13,1,14
14,1,15
15,1,16
16,1,17
17,1,18
18,1,19
19,1,20
20,1,21
21,1,22
22,1,23
23,1,24
24,1,25
25,1,27
26,1,29
27,1,31
28,1,32
29,1,33
30,1,34
31,1,35
32,1,37
33,1,39
34,1,40
35,1,45
36,1,46
37,1,48
38,1,50
39,1,52
40,1,55
41,2,2
42,2,3
43,2,4
44,2,5
45,2,6
46,2,7
47,2,8
48,2,9
49,2,10
50,2,11
51,2,12
52,2,13
53,2,14
54,2,15
55,2,16
56,2,17
57,2,18
58,2,19
59,2,20
60,2,21
61,2,22
62,2,23
63,2,24
64,2,25
65,2,30
66,2,33
67,2,40
68,2,41
69,2,42
70,2,43
71,2,44
72,2,46
73,2,49
74,2,50
75,2,55
76,2,56
77,2,60
78,2,65
79,2,70
80,2,74
81,3,2
82,3,3
83,3,4
84,3,5
85,3,6
86,3,7
87,3,8
88,3,9
89,3,10
90,3,11
91,3,12
92,3,13
93,3,14
94,3,15
95,3,16
96,3,17
97,3,18
98,3,19
99,3,20
100,3,21
101,3,22
102,3,23
103,3,24
104,3,25
105,3,28
106,3,29
107,3,30
108,3,31
109,3,33
110,3,35
111,3,37
112,3,38
113,3,39
114,3,40
115,3,50
116,3,60
117,3,61
118,3,62
119,3,63
120,3,70
121,4,1
122,4,3
123,4,4
124,4,5
125,4,6
126,4,7
127,4,8
128,4,9
129,4,10
130,4,11
131,4,12
132,4,13
133,4,14
134,4,15
135,4,16
136,4,17
137,4,18
138,4,19
139,4,20
140,4,21
141,4,22
142,4,23
143,4,24
144,4,25
145,4,28
146,4,29
147,4,30
148,4,31
149,4,32
150,4,33
151,4,44
152,4,46
153,4,47
154,4,48
155,4,50
156,4,60
157,4,62
158,4,63
159,4,70
160,4,73
161,5,1
162,5,3
163,5,4
164,5,5
165,5,6
166,5,7
167,5,8
168,5,9
169,5,10
170,5,11
171,5,12
172,5,13
173,5,14
174,5,20
175,5,21
176,5,22
177,5,23
178,5,24
179,5,25
180,5,26
181,6,12
182,6,13
183,6,14
184,6,15
185,6,16
186,6,17
187,6,18
188,6,19
189,6,20
190,6,21
191,6,22
192,6,23
193,6,24
194,6,25
195,6,30
196,6,31
197,6,32
198,6,33
199,6,34
200,6,35
201,7,1
202,7,3
203,7,4
204,7,5
205,7,6
206,7,7
207,7,8
208,7,9
209,7,10
210,7,11
211,7,12
212,7,13
213,7,14
214,7,15
215,7,16
216,7,17
217,7,18
218,7,19
219,7,20
220,7,21
221,7,22
222,7,23
223,7,24
224,7,25
225,7,27
226,7,29
227,7,31
228,7,70
229,7,71
230,7,72
231,8,1
232,8,3
233,8,4
234,8,5
235,8,6
236,8,7
237,8,8
238,8,9
239,8,10
240,8,11
241,8,12
242,8,13
243,8,14
244,8,15
245,8,16
246,8,17
247,8,30
248,8,31
249,8,32
250,8,33
251,9,9
252,9,10
253,9,11
254,9,12
255,9,13
256,9,14
257,9,20
258,9,21
259,9,22
260,9,23
261,9,24
262,9,25
263,9,26
264,9,50
265,9,51
266,9,52
267,9,53
268,9,54
269,9,55
270,9,58
271,10,1
272,10,2
273,10,3
274,10,4
275,10,5
276,10,6
277,10,7
278,10,8
279,10,9
280,10,67
281,11,2
282,11,3
283,11,4
284,11,5
285,11,6
286,11,7
287,11,8
288,11,9
289,11,10
290,11,11
291,11,12
292,11,13
293,11,14
294,11,15
295,11,16
296,11,17
297,11,18
298,11,19
299,11,30
300,11,40
301,12,1
302,12,3
303,12,4
304,12,5
305,12,6
306,12,10
307,12,11
308,12,12
309,12,13
310,12,14
311,13,2
312,13,3
313,13,4
314,13,5
315,13,6
316,13,7
317,13,8
318,13,9
319,13,10
320,13,11
321,14,13
322,14,14
323,14,15
324,14,16
325,14,17
326,15,13
327,15,14
328,15,15
329,15,16
330,15,17
331,16,13
332,16,14
333,16,15
334,16,16
335,16,17
336,17,13
337,17,14
338,17,15
339,17,16
340,17,17
341,18,13
342,18,14
343,18,15
344,18,16
345,18,17
346,19,13
347,19,14
348,19,15
349,19,16
350,19,17
351,20,13
352,20,14
353,20,15
354,20,16
355,20,17
